타라, 195, 56
파가, 161, 80
다차, 157, 62
사자, 183, 98
차라, 191, 80
파하, 188, 96
가마, 194, 78
차마, 179, 98
마카, 194, 69
아카, 199, 63
가마, 174, 85
파바, 193, 62
라파, 177, 67
하아, 154, 83
바자, 152, 56
타라, 159, 96
라자, 189, 70
나카, 171, 87
가라, 179, 63
라나, 152, 54
타하, 192, 85
다바, 186, 91
마타, 190, 80
타아, 180, 80
아아, 157, 53
다자, 191, 83
나자, 164, 92
하아, 178, 70
카마, 179, 62
바자, 183, 90
차자, 184, 89
라아, 169, 57
아자, 191, 96
라하, 156, 83
가나, 154, 73
차가, 181, 64
라바, 192, 61
가차, 196, 95
라가, 154, 97
파차, 194, 73
나카, 199, 53
아사, 166, 77
다바, 166, 58
라파, 198, 92
마나, 161, 93
가사, 193, 84
가가, 192, 59
자하, 161, 52
자타, 181, 79
가가, 184, 72
차다, 171, 62
라라, 167, 88
라라, 154, 86
다파, 190, 69
차마, 168, 51
바마, 172, 50
자아, 171, 55
차마, 195, 51
라카, 184, 76
파바, 161, 70
바하, 157, 52
하아, 171, 81
카가, 171, 80
하마, 190, 67
다자, 169, 88
다라, 189, 61
다카, 196, 79
차자, 173, 54
자파, 184, 55
아다, 172, 78
차타, 190, 79
아사, 183, 66
나사, 184, 98
다바, 156, 75
마나, 191, 78
나가, 161, 80
파파, 151, 84
자타, 185, 50
하자, 190, 57
라사, 189, 99
파라, 173, 96
다바, 179, 81
아하, 190, 97
마파, 160, 90
나마, 162, 92
자바, 183, 66
마사, 182, 57
자아, 170, 77
나하, 160, 74
파타, 156, 53
카바, 157, 56
사사, 164, 88
사사, 167, 75
아하, 177, 86
마라, 177, 79
아가, 186, 59
나타, 192, 85
사사, 152, 91
마마, 161, 59
가나, 161, 51
타라, 181, 57
하타, 172, 97
가차, 198, 64
차카, 154, 76
카사, 180, 58
타하, 187, 85
사마, 168, 58
차타, 161, 77
가바, 165, 93
아아, 184, 58
아다, 193, 78
사다, 177, 53
자다, 188, 59
카다, 175, 95
마라, 196, 82
바파, 153, 65
라사, 170, 51
마타, 187, 78
자나, 151, 65
라가, 190, 84
바나, 167, 98
하타, 196, 97
다자, 188, 73
차마, 197, 81
차하, 199, 64
파아, 178, 64
카아, 192, 88
바다, 155, 97
다가, 183, 95
카카, 159, 60
나아, 196, 94
마나, 171, 64
가다, 154, 59
바아, 173, 53
가다, 170, 65
바바, 156, 77
나나, 184, 89
가가, 169, 93
다카, 190, 71
아카, 181, 79
자가, 170, 98
나가, 153, 64
타가, 169, 60
가다, 167, 99
사나, 170, 94
바카, 172, 52
아가, 177, 73
마다, 153, 55
가하, 188, 68
나가, 173, 51
카다, 195, 89
마아, 176, 78
자사, 187, 70
사사, 165, 53
하아, 169, 58
카마, 152, 77
마타, 171, 96
다라, 177, 55
자나, 187, 94
나타, 195, 79
사자, 187, 74
마카, 196, 63
가파, 166, 55
파가, 180, 78
바다, 150, 65
가나, 176, 86
바마, 198, 95
파파, 189, 72
자차, 198, 79
하카, 188, 84
아자, 182, 93
자자, 190, 95
바하, 151, 96
파가, 189, 62
차다, 152, 85
다마, 177, 81
자다, 176, 64
마바, 161, 84
라아, 185, 56
카카, 191, 81
하라, 196, 86
라하, 165, 67
나하, 153, 92
카마, 194, 88
파타, 164, 99
나가, 192, 54
카카, 154, 79
차라, 189, 55
차가, 169, 86
다라, 191, 63
파다, 172, 90
가나, 150, 82
다마, 175, 77
마라, 173, 83
가카, 183, 78
자자, 157, 53
차마, 157, 72
가하, 185, 53
라타, 178, 52
아나, 169, 90
하아, 188, 60
라차, 196, 95
사파, 191, 68
카차, 166, 65
아나, 159, 77
마자, 192, 99
나가, 183, 51
사타, 172, 52
바라, 189, 57
마다, 162, 91
자하, 154, 50
마가, 196, 73
라사, 165, 59
다나, 181, 50
라타, 176, 75
나바, 169, 59
다차, 197, 88
파가, 150, 71
다사, 171, 63
마다, 197, 59
라차, 183, 98
사카, 198, 80
카아, 194, 71
바마, 174, 79
차다, 171, 52
파차, 159, 98
하카, 187, 89
다사, 180, 79
사다, 181, 67
차바, 158, 59
카다, 182, 58
마하, 179, 71
차마, 160, 69
다가, 195, 52
타자, 166, 77
나마, 153, 90
타차, 179, 90
카가, 187, 89
하자, 152, 74
다마, 180, 62
나카, 153, 83
라파, 195, 76
바자, 197, 82
다타, 170, 83
자차, 178, 70
가사, 185, 53
카타, 163, 98
파사, 160, 80
하카, 177, 85
가차, 164, 76
자자, 197, 72
가파, 178, 79
파나, 178, 53
라자, 174, 84
카카, 154, 97
타하, 158, 80
사하, 157, 52
라자, 170, 68
바바, 151, 55
가자, 190, 97
다사, 196, 83
